,Year,Parcel,Transect,Code,Cover,Duplicate
365,2020,BLK009,8,SPAI,9,NA
366,2020,BLK009,8,ARTR2,1,NA
367,2020,BLK009,10,SPAI,4,NA
368,2020,BLK009,10,DISP,1,NA
369,2020,BLK009,10,ERNA10,42,NA
370,2020,BLK009,10,LECI4,1,NA
371,2020,BLK009,12,SPAI,15,NA
372,2020,BLK009,12,ERNA10,8,NA
373,2020,BLK009,12,LECI4,1,NA
374,2020,BLK009,12,SAVE4,5,NA
375,2020,BLK009,14,SPAI,11,NA
376,2020,BLK009,14,DISP,1,NA
377,2020,BLK009,14,JUARL,3,NA
378,2020,BLK009,14,ERNA10,8,NA
379,2020,BLK009,14,LECI4,2,NA
380,2020,BLK011,2,ARTR2,14,NA
381,2020,BLK011,2,ERNA10,25,NA
382,2020,BLK011,2,ATCA2,3,NA
383,2020,BLK011,4,SPAI,3,NA
384,2020,BLK011,6,SATR12,6,NA
385,2020,BLK011,6,ARTR2,22,NA
386,2020,BLK011,6,ERNA10,2,NA
387,2020,BLK011,8,SPAI,5,NA
388,2020,BLK011,8,ATTO,13,NA
389,2020,BLK011,8,SAVE4,35,NA
390,2020,BLK011,10,SPAI,10,NA
391,2020,BLK011,10,ATTO,1,NA
392,2020,BLK016,2,ERNA10,9,NA
393,2020,BLK016,2,ATTO,21,NA
394,2020,BLK016,2,JUARL,1,NA
395,2020,BLK016,2,SPAI,1,NA
396,2020,BLK016,2,DISP,1,NA
397,2020,BLK016,4,ERNA10,12,NA
398,2020,BLK016,4,ATTO,23,NA
399,2020,BLK016,4,SPAI,6,NA
400,2020,BLK016,4,DISP,4,NA
401,2020,BLK016,4,LELA2,1,NA
402,2020,BLK016,4,SAEX,4,NA
403,2020,BLK016,6,ATTO,19,NA
404,2020,BLK016,6,SPAI,13,NA
405,2020,BLK016,6,DISP,19,NA
406,2020,BLK016,6,LETR5,7,NA
407,2020,BLK016,6,ATCA2,1,NA
408,2020,BLK016,8,ATTO,20,NA
409,2020,BLK016,8,SAVE4,2,NA
410,2020,BLK016,8,SPAI,12,NA
411,2020,BLK016,8,DISP,19,NA
412,2020,BLK016,10,ATTO,23,NA
413,2020,BLK016,10,SPAI,5,NA
414,2020,BLK016,10,DISP,37,NA
415,2020,BLK016,12,ATTO,3,NA
416,2020,BLK016,12,SAVE4,28,NA
417,2020,BLK016,12,ATCA2,3,NA
418,2020,BLK016,14,ERNA10,16,NA
419,2020,BLK016,14,ATTO,7,NA
420,2020,BLK016,14,MALE3,1,NA
421,2020,BLK016,16,ATTO,3,NA
422,2020,BLK016,16,SAEX,2,NA
423,2020,BLK016,16,SPAI,4,NA
424,2020,BLK021,2,SAVE4,8,NA
425,2020,BLK021,2,ATTO,13,NA
426,2020,BLK021,2,MALE3,2,NA
427,2020,BLK021,4,SAVE4,17,NA
428,2020,BLK021,4,ATTO,6,NA
429,2020,BLK021,6,SAVE4,16,NA
430,2020,BLK021,6,ERNA10,2,NA
431,2020,BLK021,6,ATCO,1,NA
432,2020,BLK021,8,ATTO,23,NA
433,2020,BLK021,10,ATTO,7,NA
434,2020,BLK021,10,ARTR2,23,NA
435,2020,BLK024,2,ERNA10,10,NA
436,2020,BLK024,2,GLLE3,5,NA
437,2020,BLK024,2,SAEX,2,NA
438,2020,BLK024,2,ARTR2,9,NA
439,2020,BLK024,2,SPAI,4,NA
440,2020,BLK024,4,SPAI,5,NA
441,2020,BLK024,4,ATTO,19,NA
442,2020,BLK024,6,ERNA10,2,NA
443,2020,BLK024,6,ARTR2,9,NA
444,2020,BLK024,6,SPAI,9,NA
445,2020,BLK024,6,ATTO,1,NA
446,2020,BLK024,6,SAVE4,1,NA
447,2020,BLK024,8,SPAI,3,NA
448,2020,BLK024,8,ARTR2,17,NA
449,2020,BLK024,8,SAVE4,4,NA
450,2020,BLK024,10,SPAI,10,NA
451,2020,BLK024,10,ATTO,11,NA
452,2020,BLK024,10,SAVE4,1,NA
453,2020,BLK024,12,SPAI,2,NA
454,2020,BLK024,12,ARTR2,11,NA
455,2020,BLK024,12,ATTO,5,NA
456,2020,BLK024,12,ATCO,9,NA
457,2020,BLK024,14,SPAI,2,NA
458,2020,BLK024,14,ATTO,17,NA
459,2020,BLK024,14,ERNA10,2,NA
460,2020,BLK033,2,SPAI,12,NA
461,2020,BLK033,2,ARTR2,9,NA
462,2020,BLK033,2,ERNA10,3,NA
463,2020,BLK033,2,STEPH,1,NA
464,2020,BLK033,4,SPAI,12,NA
465,2020,BLK033,4,ATTO,21,NA
466,2020,BLK033,6,SPAI,10,NA
467,2020,BLK033,6,ATTO,9,NA
468,2020,BLK033,6,ERNA10,2,NA
469,2020,BLK033,6,GLLE3,2,NA
470,2020,BLK033,6,ATCO,5,NA
471,2020,BLK033,8,ATTO,4,NA
472,2020,BLK033,8,SATR12,12,NA
473,2020,BLK033,8,SPAI,12,NA
474,2020,BLK039,2,SPAI,11,NA
475,2020,BLK039,2,ERNA10,7,NA
476,2020,BLK039,2,ATTO,9,NA
477,2020,BLK039,2,ATCO,2,NA
478,2020,BLK039,4,SPAI,21,NA
479,2020,BLK039,4,ERNA10,12,NA
480,2020,BLK039,4,LECI4,4,NA
481,2020,BLK039,4,ATTO,13,NA
482,2020,BLK039,6,SPAI,17,NA
483,2020,BLK039,6,ERNA10,19,NA
484,2020,BLK039,6,LECI4,1,NA
485,2020,BLK039,6,ATTO,3,NA
486,2020,BLK039,8,ERNA10,1,NA
487,2020,BLK039,8,SPAI,15,NA
488,2020,BLK039,8,DISP,1,NA
489,2020,BLK039,8,ATTO,4,NA
490,2020,BLK039,8,ARTR2,5,NA
491,2020,BLK039,8,CALI4,4,NA
492,2020,BLK039,10,ERNA10,6,NA
493,2020,BLK039,10,STPA4,2,NA
494,2020,BLK039,10,SAVE4,2,NA
495,2020,BLK039,10,ATCO,1,NA
496,2020,BLK039,10,SPAI,5,NA
497,2020,BLK044,2,ATTO,29,NA
498,2020,BLK044,2,SPAI,8,NA
499,2020,BLK044,2,ERNA10,4,NA
500,2020,BLK044,4,ATTO,45,NA
501,2020,BLK044,4,ERNA10,2,NA
502,2020,BLK044,4,GLLE3,8,NA
503,2020,BLK044,6,ATTO,15,NA
504,2020,BLK044,6,SPAI,11,NA
505,2020,BLK044,6,ERNA10,13,NA
506,2020,BLK059,2,ERNA10,4,NA
507,2020,BLK059,2,DISP,29,NA
508,2020,BLK059,2,ATTO,4,NA
509,2020,BLK059,2,ARTR2,6,NA
510,2020,BLK059,2,JUARL,5,NA
511,2020,BLK059,2,LETR5,3,NA
512,2020,BLK059,4,ERNA10,3,NA
513,2020,BLK059,4,DISP,4,NA
514,2020,BLK059,4,ATTO,1,NA
515,2020,BLK059,4,SPGR,5,NA
516,2020,BLK059,4,ARTR2,4,NA
517,2020,BLK059,4,SAVE4,1,NA
518,2020,BLK059,4,CALI4,2,NA
519,2020,BLK059,4,SPAI,2,NA
520,2020,BLK059,6,ERNA10,13,NA
521,2020,BLK059,6,DISP,1,NA
522,2020,BLK059,6,ATTO,3,NA
523,2020,BLK059,6,SPGR,2,NA
524,2020,BLK059,6,SPAI,1,NA
525,2020,BLK059,6,JUARL,6,NA
526,2020,BLK059,6,LECI4,2,NA
527,2020,BLK059,6,LETR5,4,NA
528,2020,BLK069,2,SPAI,8,NA
529,2020,BLK069,2,SAVE4,2,NA
530,2020,BLK069,2,MACA17,1,NA
531,2020,BLK069,2,STEPH,1,NA
532,2020,BLK069,4,SPAI,16,NA
533,2020,BLK069,4,SAVE4,1,NA
534,2020,BLK069,4,DISP,2,NA
535,2020,BLK069,4,ARTR2,2,NA
536,2020,BLK069,6,SPAI,10,NA
537,2020,BLK069,6,SAVE4,1,NA
538,2020,BLK069,6,DISP,1,NA
539,2020,BLK069,6,ERNA10,2,NA
540,2020,BLK069,8,SPAI,4,NA
541,2020,BLK069,8,ARTR2,2,NA
542,2020,BLK069,10,ERNA10,1,NA
543,2020,BLK069,10,DISP,3,NA
544,2020,BLK069,10,ATTO,1,NA
545,2020,BLK069,10,SAVE4,5,NA
546,2020,BLK069,10,SUMO,5,NA
547,2020,BLK069,12,SPAI,9,NA
548,2020,BLK069,12,JUARL,2,NA
549,2020,BLK069,12,ERNA10,1,NA
550,2020,BLK069,12,LECI4,2,NA
551,2020,BLK069,14,SPAI,8,NA
552,2020,BLK069,14,JUARL,1,NA
553,2020,BLK069,14,ERNA10,3,NA
554,2020,BLK069,14,LECI4,1,NA
555,2020,BLK069,14,DISP,3,NA
556,2020,BLK069,14,ATTO,1,NA
557,2020,BLK069,14,NIOC2,1,NA
558,2020,BLK074,2,ATTO,18,NA
559,2020,BLK074,2,SPAI,28,NA
560,2020,BLK074,2,DISP,4,NA
561,2020,BLK074,4,ATTO,4,NA
562,2020,BLK074,4,SPAI,14,NA
563,2020,BLK074,4,DISP,16,NA
564,2020,BLK074,4,SAVE4,5,NA
565,2020,BLK074,4,ERNA10,7,NA
566,2020,BLK074,4,GLLE3,2,NA
567,2020,BLK074,6,SPAI,2,NA
568,2020,BLK074,6,DISP,2,NA
569,2020,BLK074,6,SAVE4,19,NA
570,2020,BLK074,6,ERNA10,1,NA
571,2020,BLK074,6,ARTR2,2,NA
572,2020,BLK074,6,SUMO,1,NA
573,2020,BLK074,8,ATTO,7,NA
574,2020,BLK074,8,SUMO,4,NA
575,2020,BLK074,8,DISP,3,NA
576,2020,BLK074,8,SPAI,1,NA
577,2020,BLK074,8,ERNA10,5,NA
578,2020,BLK074,8,SAVE4,9,NA
579,2020,BLK074,10,ATTO,11,NA
580,2020,BLK074,10,SUMO,4,NA
581,2020,BLK074,10,DISP,12,NA
582,2020,BLK074,10,SPAI,17,NA
583,2020,BLK074,12,ATTO,5,NA
584,2020,BLK074,12,SUMO,3,NA
585,2020,BLK074,12,DISP,5,NA
586,2020,BLK074,12,SPAI,18,NA
587,2020,BLK074,12,SAVE4,15,NA
588,2020,BLK074,14,ATTO,14,NA
589,2020,BLK074,14,DISP,7,NA
590,2020,BLK074,14,SPAI,25,NA
591,2020,BLK074,14,ERNA10,13,NA
592,2020,BLK074,14,GLLE3,3,NA
593,2020,BLK075,2,LETR5,1,NA
594,2020,BLK075,2,DISP,6,NA
595,2020,BLK075,2,MALE3,2,NA
596,2020,BLK075,2,JUARL,6,NA
597,2020,BLK075,2,AAFF,5,NA
598,2020,BLK075,2,POMO5,4,NA
599,2020,BLK075,2,BAHY,2,NA
600,2020,BLK075,2,HECU3,6,NA
601,2020,BLK075,2,HEAN3,15,NA
602,2020,BLK075,4,SPAI,1,NA
603,2020,BLK075,4,SAVE4,12,NA
604,2020,BLK075,4,ATTO,29,NA
605,2020,BLK075,4,SUMO,1,NA
606,2020,BLK075,4,ATCO,4,NA
607,2020,BLK075,4,ARTR2,1,NA
608,2020,BLK075,6,ERNA10,1,NA
609,2020,BLK075,6,SAVE4,19,NA
610,2020,BLK075,6,ATTO,7,NA
611,2020,BLK075,6,DISP,2,NA
612,2020,BLK075,6,ATCA2,6,NA
613,2020,BLK075,8,LETR5,5,NA
614,2020,BLK075,8,SPAI,7,NA
615,2020,BLK075,8,ROWOU,6,NA
616,2020,BLK075,8,ERNA10,8,NA
617,2020,BLK075,8,SAVE4,11,NA
618,2020,BLK075,8,GLLE3,3,NA
619,2020,BLK075,8,ATTO,7,NA
620,2020,BLK075,8,DISP,1,NA
621,2020,BLK075,10,SPAI,10,NA
622,2020,BLK075,10,DISP,2,NA
623,2020,BLK075,10,SAVE4,35,NA
624,2020,BLK075,10,SUMO,2,NA
625,2020,BLK075,10,ATTO,17,NA
626,2020,BLK077,2,SPAI,12,NA
627,2020,BLK077,2,ARTR2,4,NA
